speaker_id,first_name,last_name,years_experience,company_type,company,job_title,expertise_primary,expertise_secondary,programming_languages,cloud_services,mvp_status,region,country,twitter_followers,linkedin_connections,github_repositories,speaking_experience_years,previous_conferences,session_title,session_track,session_type,session_level,session_duration_minutes,expected_audience_size,session_rating_prediction,community_contributions,open_source_projects,certifications_count,speaker_fee_tier
SPKR-0011,Stephanie,Harris,1,Microsoft Partner,Wipro,Software Engineer,Sustainability Tech,Blockchain,"Python, JavaScript, C#","Azure Data, Azure IoT, Azure AI, Azure Security",False,Europe,United Kingdom,5901,1357,7,0,0,Sustainability Metrics and Reporting,Microsoft Cloud,Breakout Session,Intermediate,45,197,3.8,6,5,7,None
SPKR-0012,Dmitri,Hernandez,4,Microsoft Partner,Deloitte,Principal Engineer,Microsoft 365,IoT Solutions,"JavaScript, TypeScript, PowerShell, C#","Dynamics 365, Azure AI",False,Asia Pacific,Singapore,168,4354,10,0,0,Microsoft Teams App Development,Digital & App Innovation,Breakout Session,Beginner,45,226,4.4,4,0,7,None
SPKR-0013,Lucia,Taylor,1,Microsoft,Microsoft Consulting,Cloud Engineer,Sustainability Tech,Data & Analytics,"JavaScript, C#","Azure Mixed Reality, Azure Compute, Azure Data",False,Asia Pacific,South Korea,136,1156,8,0,0,Green Computing with Azure: Best Practices,Microsoft Cloud,Breakout Session,Intermediate,45,150,3.7,8,3,2,None
SPKR-0014,Stephanie,Yang,1,Consulting Firm,Capgemini,DevOps Engineer,Microsoft 365,Data & Analytics,"TypeScript, PowerShell, JavaScript","Azure Storage, Azure DevOps, Azure Data",False,North America,United States,100,59,27,0,0,Office Add-ins Development,Digital & App Innovation,Breakout Session,Beginner,75,114,4.1,2,3,5,Low
SPKR-0015,Michael,Garcia,3,Consulting Firm,Boston Consulting Group,Software Engineer,Quantum Computing,Modern Apps,"C#, Q#, Python","Azure Data, Microsoft 365",False,North America,Mexico,1168,378,5,0,0,Quantum Computing Applications,Data & AI,Theater Session,Beginner,30,77,4.6,1,9,1,None
SPKR-0016,Nicole,White,7,Enterprise Customer,General Electric,Senior Software Engineer,AI/Machine Learning,Edge Computing,"R, Python","Azure AI, Azure Mixed Reality, Azure Storage, Azure Security, Azure DevOps",False,Europe,Spain,917,2286,12,3,6,Machine Learning at Scale with Azure ML,App Innovation,Theater Session,Beginner,45,129,4.4,2,9,1,None
SPKR-0017,Sarah,Sato,1,Education,University of Washington,Cloud Engineer,Azure Cloud,Edge Computing,"C#, JavaScript","Azure Compute, Dynamics 365, Azure Storage, Azure Mixed Reality, Azure AI, Azure Security",False,Asia Pacific,India,236,345,39,0,0,Azure Architecture Best Practices: Lessons Learned,Infrastructure,Theater Session,Beginner,45,70,3.4,8,2,2,None
SPKR-0018,Stephanie,Brown,7,Microsoft Partner,TCS,Development Manager,IoT Solutions,Security & Compliance,"JavaScript, Python, C#","Power Platform, Azure AI, Azure Mixed Reality, Azure IoT",False,Asia Pacific,Singapore,78,114,6,6,35,Secure IoT Implementation: Best Practices,Data & AI,Workshop,Intermediate,90,44,5.0,7,2,5,Medium
SPKR-0019,Ana,Oliveira,5,Microsoft,Microsoft Consulting,Lead Developer,Modern Apps,Blockchain,"TypeScript, Java, Swift, C#, JavaScript","Azure DevOps, Dynamics 365, Microsoft 365, Azure Networking, Azure IoT, Azure Data",False,North America,United States,94,342,2,0,0,Building Progressive Web Apps: Lessons Learned,Digital & App Innovation,Breakout Session,Beginner,60,267,4.1,5,4,6,None
SPKR-0020,Ingrid,Brown,1,Startup,NextGen Software,Software Engineer,Modern Apps,Edge Computing,"Swift, JavaScript, TypeScript, Java, C#","Azure Compute, Azure Mixed Reality, Dynamics 365, Power Platform, Azure Data, Azure AI",False,North America,Canada,314,26,11,0,0,Container Orchestration with Azure Kubernetes Service: Advanced Techniques,App Innovation,Theater Session,Beginner,30,75,4.4,6,2,4,None
SPKR-0021,Sarah,Harris,4,Consulting Firm,Bain & Company,Solutions Architect,Blockchain,DevOps & Automation,"C#, Solidity","Azure DevOps, Azure Networking, Power Platform, Azure Mixed Reality, Azure AI, Microsoft 365",False,Europe,Italy,507,429,24,0,0,Decentralized Identity: Best Practices,Infrastructure,Theater Session,Beginner,45,68,4.6,11,0,6,None
SPKR-0022,Brian,Martinez,1,Microsoft,Microsoft Corporation,Data Analyst,AI/Machine Learning,Microsoft 365,"JavaScript, C#","Azure IoT, Microsoft 365, Azure Mixed Reality, Power Platform",False,Latin America,Brazil,236,175,25,0,0,Responsible AI Development,App Innovation,Theater Session,Intermediate,30,69,3.7,3,7,1,None
SPKR-0023,Hiroshi,Kumar,3,Microsoft,Microsoft Consulting,DevOps Engineer,Data & Analytics,Quantum Computing,"C#, R","Azure IoT, Azure Mixed Reality, Azure Networking, Azure Storage",False,Asia Pacific,Singapore,875,345,7,0,0,Real-time Analytics with Azure Stream Analytics,Data & AI,Theater Session,Beginner,45,143,3.5,7,3,2,None
SPKR-0024,Lisa,Nakamura,3,Consulting Firm,Bain & Company,Software Engineer,Data & Analytics,Microsoft 365,"R, KQL, Python, C#","Azure Security, Azure Mixed Reality",False,Europe,Spain,51,2196,14,0,0,Azure Synapse Analytics Deep Dive,Data & AI,Workshop,Beginner,180,61,3.8,3,0,1,None
SPKR-0025,Nicole,Chen,11,Education,Oxford University,Principal Architect,Security & Compliance,Blockchain,"PowerShell, JavaScript, C#","Power Platform, Azure Networking, Azure Storage, Azure AI",False,Middle East & Africa,Israel,1017,215,27,5,1,Compliance Automation in the Cloud,Microsoft Cloud,Theater Session,Advanced,45,149,5.0,4,2,2,Medium
SPKR-0026,Raj,Sato,5,Startup,Digital Transform Co,Senior Data Scientist,Azure Cloud,IoT Solutions,"JavaScript, ARM Templates, Python","Azure Mixed Reality, Azure Networking, Microsoft 365",False,Europe,Spain,585,280,4,0,0,Building Scalable Applications on Azure,Microsoft Cloud,Lightning Talk,Intermediate,15,49,4.1,4,0,1,None
SPKR-0027,Wei,Yamamoto,3,Microsoft Partner,Accenture,Software Engineer,Microsoft 365,Mixed Reality,"C#, PowerShell, TypeScript, JavaScript","Azure Storage, Microsoft 365, Azure Security, Azure DevOps, Azure Networking",False,Europe,Germany,76,135,6,0,0,Microsoft Teams App Development,Digital & App Innovation,Breakout Session,Beginner,75,225,4.6,2,0,1,None
SPKR-0028,Amara,Martin,4,Non-Profit,Doctors Without Borders,Product Manager,Power Platform,Modern Apps,"TypeScript, JavaScript","Azure DevOps, Dynamics 365",False,North America,United States,146,2165,4,0,0,Low-Code Application Development,Modern Work,Panel Discussion,Intermediate,60,248,3.9,10,1,4,Low
SPKR-0029,Mei,Schmidt,6,ISV,Workday,Principal Engineer,Power Platform,Modern Apps,"Power Fx, TypeScript, JavaScript, C#","Azure IoT, Azure Data, Azure AI",False,Latin America,Argentina,1255,2843,15,3,18,Low-Code Application Development,Modern Work,Breakout Session,Intermediate,60,215,4.2,11,1,1,None
SPKR-0030,Michelle,Mueller,3,Enterprise Customer,Goldman Sachs,Software Engineer,Data & Analytics,Mixed Reality,"KQL, Python, SQL","Dynamics 365, Azure Security, Azure Mixed Reality",True,Europe,Sweden,146,819,19,0,0,Power BI for Enterprise Data Visualization,Data & AI,Breakout Session,Beginner,75,144,5.0,15,3,2,None
SPKR-0031,James,Martin,10,ISV,ServiceNow,Development Manager,AI/Machine Learning,Edge Computing,"JavaScript, Python, Scala, R, C#","Azure Storage, Dynamics 365",True,North America,Mexico,60925,1444,24,5,3,Machine Learning at Scale with Azure ML,Data & AI,Breakout Session,Beginner,45,254,4.5,7,5,3,Medium
SPKR-0032,Michael,Martinez,4,Consulting Firm,Ernst & Young,Lead Developer,Azure Cloud,Power Platform,"JavaScript, C#, Python","Azure Storage, Azure Data, Dynamics 365",False,North America,United States,835,141,9,3,2,Modernizing Legacy Systems with Azure,Microsoft Cloud,Breakout Session,Beginner,45,195,3.9,4,1,0,None
SPKR-0033,Lars,Yamamoto,4,Government,Canada Digital Service,Development Manager,Quantum Computing,Security & Compliance,"Q#, C#","Dynamics 365, Microsoft 365, Azure Storage",False,North America,Canada,333,760,21,0,0,Quantum Computing Applications,Data & AI,Theater Session,Intermediate,30,95,4.2,5,0,0,None
SPKR-0034,Robert,Santos,3,ISV,Zoom,Data Analyst,DevOps & Automation,Security & Compliance,"PowerShell, Python, YAML","Azure Storage, Azure Networking",False,North America,Canada,221,138,12,2,8,Monitoring and Observability,App Innovation,Breakout Session,Beginner,75,107,3.5,6,3,2,Medium
SPKR-0035,Brian,Brown,2,Startup,DataDriven Solutions,Cloud Engineer,Blockchain,Power Platform,"C#, JavaScript, Go","Dynamics 365, Azure IoT, Azure Data, Azure Mixed Reality",False,North America,Canada,921,489,16,0,0,Blockchain Solutions on Azure,Infrastructure,Breakout Session,Beginner,45,111,3.5,2,4,6,Low
SPKR-0036,Chris,Silva,2,Startup,TechStart Inc,Data Analyst,Edge Computing,DevOps & Automation,"C++, JavaScript, C#","Azure DevOps, Azure IoT, Power Platform",False,Latin America,Mexico,152,308,6,0,0,Edge Security and Management,Infrastructure,Breakout Session,Intermediate,45,188,4.8,3,2,13,Low
SPKR-0037,João,Harris,3,Enterprise Customer,Pfizer,DevOps Engineer,Azure Cloud,AI/Machine Learning,"C#, JavaScript, Python, PowerShell","Azure Compute, Microsoft 365, Azure IoT",False,North America,Mexico,185,260,5,0,0,Modernizing Legacy Systems with Azure: Best Practices,Infrastructure,Workshop,Intermediate,90,37,4.3,5,1,0,None
SPKR-0038,Rachel,Thomas,7,Startup,AI Innovations,Product Manager,Sustainability Tech,Azure Cloud,"Python, C#, JavaScript, R","Azure Security, Azure Compute",False,Europe,Netherlands,4277,825,1,4,7,Sustainable Software Development,Infrastructure,Breakout Session,Advanced,45,164,4.4,11,3,0,Low
SPKR-0039,Emily,Miller,8,Consulting Firm,NTT Data,Lead Developer,IoT Solutions,Microsoft 365,"JavaScript, C++, C#, Python","Azure Networking, Microsoft 365, Azure Data, Azure DevOps, Azure IoT, Azure Storage",False,North America,Mexico,258,1949,10,1,5,IoT Device Management with Azure,Infrastructure,Panel Discussion,Beginner,45,143,4.1,13,4,5,None
SPKR-0040,Raj,Brown,11,Education,Stanford University,CTO,Security & Compliance,Microsoft 365,"PowerShell, C#, Python, JavaScript","Azure Security, Azure AI, Azure Compute, Azure Networking",False,Asia Pacific,China,791,8960,10,8,14,Identity and Access Management with Azure AD,Security,Workshop,Advanced,180,51,3.8,6,0,19,Low
SPKR-0041,Ashley,Liu,2,Enterprise Customer,Oracle,Software Engineer,Microsoft 365,DevOps & Automation,"TypeScript, C#","Azure IoT, Azure Security, Microsoft 365, Azure DevOps",False,Europe,Sweden,90,901,3,0,0,SharePoint Framework Solutions: A Case Study,Modern Work,Lightning Talk,Beginner,20,75,4.7,3,6,0,None
SPKR-0042,Chris,Wilson,6,Enterprise Customer,JPMorgan Chase,Senior Software Engineer,IoT Solutions,Sustainability Tech,"Python, JavaScript, C++","Azure DevOps, Azure IoT, Azure AI",True,North America,Canada,1636,11258,1,0,0,Industrial IoT at Scale: Lessons Learned,Infrastructure,Breakout Session,Intermediate,60,165,5.0,18,1,1,None
SPKR-0043,Priya,Williams,8,Microsoft Partner,PwC,Senior Software Engineer,Microsoft 365,Azure Cloud,"C#, PowerShell","Azure IoT, Azure Security, Azure AI, Azure Networking, Azure DevOps",False,Asia Pacific,South Korea,1252,1100,6,0,0,Microsoft Graph Integration: Advanced Techniques,Digital & App Innovation,Theater Session,Beginner,30,85,3.5,20,0,16,None
SPKR-0044,Sarah,Kumar,2,Startup,CloudFirst Ltd,Cloud Engineer,Blockchain,AI/Machine Learning,"C#, Solidity","Azure IoT, Azure Mixed Reality, Azure DevOps",False,Asia Pacific,Japan,3525,3959,8,0,0,Decentralized Identity: Best Practices,App Innovation,Theater Session,Intermediate,45,95,4.4,7,2,4,None
SPKR-0045,Lauren,Sato,4,Startup,AgileWorks,Lead Developer,Quantum Computing,Edge Computing,"C#, Q#, Python","Microsoft 365, Azure Compute, Azure IoT, Dynamics 365, Azure Storage",False,Latin America,Chile,88,1009,9,0,0,Introduction to Quantum Computing: Best Practices,App Innovation,Theater Session,Intermediate,30,71,3.3,2,7,2,Low
SPKR-0046,Mei,Taylor,1,Microsoft,Microsoft Consulting,Developer,Modern Apps,Data & Analytics,"Java, TypeScript","Azure Networking, Azure DevOps, Azure IoT, Microsoft 365",False,North America,United States,27,532,12,0,0,Building Progressive Web Apps,App Innovation,Workshop,Beginner,120,35,3.9,5,6,8,None
SPKR-0047,Robert,Brown,5,Enterprise Customer,Johnson & Johnson,Lead Developer,Mixed Reality,IoT Solutions,"JavaScript, C#","Microsoft 365, Azure DevOps, Azure Security, Power Platform",False,Europe,Sweden,270,543,13,0,0,Mixed Reality for Training and Education,Digital & App Innovation,Workshop,Beginner,120,80,5.0,8,4,3,None
SPKR-0048,Amanda,Kumar,8,Microsoft,Microsoft Research,Solutions Architect,Sustainability Tech,Quantum Computing,"Python, R, C#, JavaScript","Azure Security, Azure Mixed Reality, Azure Networking, Azure Compute, Dynamics 365",False,Middle East & Africa,South Africa,207,1238,6,7,11,Carbon Footprint Optimization,Microsoft Cloud,Breakout Session,Intermediate,45,211,4.9,2,2,3,Medium
SPKR-0049,Elena,Park,1,Microsoft,Microsoft Corporation,Cloud Engineer,IoT Solutions,Data & Analytics,"C++, JavaScript, Python","Azure Security, Azure Storage, Microsoft 365, Azure Mixed Reality",False,Asia Pacific,Singapore,236,669,12,0,0,Secure IoT Implementation,Infrastructure,Lightning Talk,Intermediate,20,57,4.4,12,3,0,None
SPKR-0050,Ashley,Zhang,2,Consulting Firm,Ernst & Young,Software Engineer,Mixed Reality,AI/Machine Learning,"Unity Script, C++, JavaScript","Azure Data, Dynamics 365, Azure Storage",False,Asia Pacific,New Zealand,617,84,4,0,0,Spatial Computing Fundamentals,App Innovation,Breakout Session,Advanced,45,216,3.3,1,3,3,None
SPKR-0051,Ryan,Jackson,2,Microsoft Partner,PwC,Data Analyst,Modern Apps,Blockchain,"Java, Swift, C#, JavaScript, TypeScript","Microsoft 365, Azure Storage",False,Europe,Italy,8441,1078,13,1,6,Serverless Computing with Azure Functions,App Innovation,Breakout Session,Beginner,45,275,4.7,5,2,2,None
SPKR-0052,Dmitri,White,1,Microsoft Partner,TCS,Developer,Security & Compliance,AI/Machine Learning,"JavaScript, Python, PowerShell, C#","Azure AI, Dynamics 365, Azure Data, Azure Mixed Reality, Azure IoT, Microsoft 365",False,Asia Pacific,New Zealand,122,67,9,0,0,Azure Security Center Best Practices: Best Practices,Microsoft Cloud,Theater Session,Beginner,30,85,4.3,8,4,0,None
SPKR-0053,Lucia,Yang,4,Microsoft,Microsoft Research,Development Manager,IoT Solutions,DevOps & Automation,"C++, JavaScript, Python","Azure Networking, Azure AI, Azure DevOps",False,Asia Pacific,China,13,1388,7,1,1,IoT Data Processing and Analytics,Infrastructure,Lightning Talk,Beginner,20,68,4.1,11,3,1,Medium
SPKR-0054,Emily,White,5,Microsoft,Microsoft Research,Senior Software Engineer,Microsoft 365,Mixed Reality,"PowerShell, C#, TypeScript","Microsoft 365, Dynamics 365, Azure Mixed Reality",False,North America,United States,282,1364,9,0,0,Microsoft Teams App Development: Lessons Learned,Digital & App Innovation,Breakout Session,Intermediate,75,263,3.7,6,5,1,None
SPKR-0055,Sarah,Costa,6,Consulting Firm,Ernst & Young,Product Manager,Mixed Reality,Modern Apps,"Unity Script, JavaScript","Azure DevOps, Microsoft 365, Azure Security, Azure Mixed Reality",False,Europe,United Kingdom,750,4027,1,2,2,AR/VR Development with Unity,App Innovation,Workshop,Intermediate,180,77,3.7,7,5,2,None
SPKR-0056,Jessica,Santos,7,Enterprise Customer,Home Depot,Senior Data Scientist,Mixed Reality,Azure Cloud,"Unity Script, JavaScript, C++","Azure IoT, Azure AI, Azure Networking",False,Asia Pacific,China,113,283,7,5,12,Spatial Computing Fundamentals: Lessons Learned,App Innovation,Breakout Session,Beginner,60,285,3.9,6,0,4,Low
SPKR-0057,Amara,White,11,ISV,Intuit,VP Engineering,Edge Computing,DevOps & Automation,"JavaScript, Python, C++","Azure Storage, Azure Data, Azure Compute, Azure AI, Azure Mixed Reality",False,North America,Mexico,916,325,0,10,7,Industrial IoT Solutions,Data & AI,Keynote,Beginner,60,2132,4.8,16,2,2,Low
SPKR-0058,Emily,Thompson,4,Microsoft Partner,TCS,Lead Developer,Mixed Reality,Power Platform,"JavaScript, C++, Unity Script, C#","Microsoft 365, Azure Data, Azure Storage, Azure AI, Azure Compute",False,North America,Mexico,446,2260,3,1,1,Spatial Computing Fundamentals,App Innovation,Breakout Session,Beginner,60,147,4.2,14,5,5,None
SPKR-0059,Carlos,Kumar,3,Microsoft Partner,Accenture,Developer,Microsoft 365,Modern Apps,"C#, PowerShell, JavaScript, TypeScript","Azure DevOps, Dynamics 365, Azure Networking",False,North America,Canada,476,146,7,0,0,SharePoint Framework Solutions,Digital & App Innovation,Breakout Session,Beginner,60,140,4.2,9,1,3,None
SPKR-0060,Rachel,Silva,11,Microsoft Partner,Accenture,VP Engineering,Security & Compliance,Mixed Reality,"C#, PowerShell, Python, JavaScript","Power Platform, Azure Networking, Azure Compute, Azure Mixed Reality",False,Asia Pacific,China,2115,260,8,0,0,Compliance Automation in the Cloud,Microsoft Cloud,Breakout Session,Beginner,75,150,4.8,9,1,1,None
SPKR-0061,Priya,Lopez,4,Startup,DataDriven Solutions,Senior Software Engineer,DevOps & Automation,Edge Computing,"Python, Bash","Azure Storage, Dynamics 365",False,Asia Pacific,Singapore,320,768,9,3,7,CI/CD with Azure DevOps,App Innovation,Breakout Session,Beginner,60,263,3.6,5,14,1,None
SPKR-0062,Yuki,Zhang,2,Enterprise Customer,Intel,Cloud Engineer,Data & Analytics,Security & Compliance,"Python, C#, KQL","Azure Mixed Reality, Azure Storage, Power Platform, Microsoft 365, Dynamics 365",False,Europe,Netherlands,642,440,4,0,0,Azure Synapse Analytics Deep Dive,Data & AI,Lightning Talk,Intermediate,15,78,3.2,4,5,0,None
SPKR-0063,Jennifer,Yamamoto,9,Government,Australian Digital Transformation Agency,Solutions Architect,Azure Cloud,Blockchain,"PowerShell, JavaScript","Azure Security, Azure Data, Power Platform, Azure Networking, Azure Mixed Reality, Azure DevOps",False,Asia Pacific,Japan,38,1122,17,5,6,Azure Cost Optimization Strategies,Microsoft Cloud,Breakout Session,Intermediate,45,215,4.7,7,2,3,None
SPKR-0064,Dmitri,Yang,3,Startup,TechStart Inc,Software Engineer,IoT Solutions,Edge Computing,"JavaScript, Python, C#, C++","Azure Compute, Power Platform",True,Europe,France,190,1014,6,0,0,Industrial IoT at Scale,Data & AI,Breakout Session,Beginner,45,157,3.8,38,0,1,None
SPKR-0065,Ashley,Tanaka,6,Enterprise Customer,Walmart,Product Manager,Quantum Computing,Modern Apps,"Python, Q#","Azure Compute, Azure DevOps, Azure Networking, Power Platform, Microsoft 365",False,Asia Pacific,India,265,1404,28,5,2,Quantum Computing Applications: Lessons Learned,Data & AI,Breakout Session,Beginner,60,255,4.1,3,0,2,Medium
SPKR-0066,Ahmed,White,2,Consulting Firm,Ernst & Young,Data Analyst,AI/Machine Learning,IoT Solutions,"C#, Python, R","Azure Mixed Reality, Microsoft 365, Azure Networking",False,North America,Mexico,62,424,20,0,0,AI-Powered Applications with Azure Cognitive Services,Data & AI,Workshop,Beginner,180,53,4.0,1,5,2,None
SPKR-0067,James,Souza,5,Education,MIT,Lead Developer,Power Platform,Blockchain,"C#, JavaScript","Azure Storage, Dynamics 365, Azure Networking",False,Asia Pacific,New Zealand,407,704,17,0,0,Power Automate Process Automation,Modern Work,Breakout Session,Beginner,60,243,4.1,5,2,3,None
SPKR-0068,Amanda,Silva,6,Microsoft Partner,Infosys,Product Manager,Blockchain,Security & Compliance,"Go, Solidity, C#","Azure Compute, Azure Data, Azure Networking, Power Platform",False,North America,United States,264,675,3,4,23,Blockchain for Supply Chain: Advanced Techniques,Infrastructure,Theater Session,Advanced,45,142,3.3,14,3,3,None
SPKR-0069,Ashley,Tanaka,9,Microsoft,Microsoft Research,Lead Developer,Azure Cloud,Modern Apps,"Python, PowerShell, ARM Templates","Power Platform, Azure DevOps, Azure Storage, Azure IoT, Azure Data, Dynamics 365",False,North America,Canada,285,971,9,8,35,Building Scalable Applications on Azure: A Case Study,Microsoft Cloud,Lightning Talk,Intermediate,15,117,4.4,5,0,5,Low
SPKR-0070,Jason,Zhang,3,Startup,DataDriven Solutions,Cloud Engineer,Edge Computing,IoT Solutions,"C++, Python, JavaScript","Azure DevOps, Azure IoT, Azure Mixed Reality",False,North America,United States,1215,100,3,0,0,Edge Security and Management,Infrastructure,Breakout Session,Beginner,45,122,5.0,3,4,1,None
SPKR-0071,Lucia,Costa,4,Enterprise Customer,General Electric,Principal Engineer,Mixed Reality,AI/Machine Learning,"C#, JavaScript, C++","Azure IoT, Azure Mixed Reality, Azure Compute, Microsoft 365, Power Platform",False,Europe,Sweden,411,1483,6,1,2,Spatial Computing Fundamentals: Advanced Techniques,App Innovation,Breakout Session,Beginner,45,295,4.1,4,7,4,None
SPKR-0072,Brian,Lee,5,Non-Profit,Red Cross,Senior Data Scientist,Security & Compliance,Edge Computing,"PowerShell, Python, JavaScript","Azure Security, Azure AI, Azure Compute, Azure Mixed Reality",False,Asia Pacific,Japan,79,2342,3,0,0,Compliance Automation in the Cloud,Security,Breakout Session,Beginner,60,186,4.3,4,0,1,None
SPKR-0073,Michelle,Jackson,4,Enterprise Customer,Goldman Sachs,Lead Developer,Blockchain,Sustainability Tech,"C#, JavaScript, Solidity","Azure Storage, Azure Compute",False,Europe,Germany,146,1286,12,0,0,Smart Contracts Development,App Innovation,Theater Session,Beginner,30,135,4.7,13,1,3,None
SPKR-0074,Rachel,Costa,2,Microsoft,Microsoft Corporation,Developer,DevOps & Automation,Azure Cloud,"Go, Bash, YAML","Azure AI, Azure Compute, Azure Storage, Dynamics 365, Microsoft 365, Azure DevOps",False,North America,Mexico,874,912,10,0,0,GitOps and Azure Arc,App Innovation,Theater Session,Beginner,30,87,4.8,3,1,2,None
SPKR-0075,Stephanie,Li,7,Education,University of Washington,Lead Developer,Power Platform,Security & Compliance,"C#, JavaScript","Azure AI, Dynamics 365, Azure Compute, Azure Mixed Reality",False,Middle East & Africa,Nigeria,653,243,5,0,0,Low-Code Application Development: A Case Study,Digital & App Innovation,Lightning Talk,Intermediate,15,56,4.8,3,3,2,None
SPKR-0076,Priya,Oliveira,4,ISV,Intuit,Principal Engineer,Modern Apps,DevOps & Automation,"Java, C#, TypeScript","Azure Data, Azure Security",False,North America,Canada,2183,109,14,0,0,Serverless Computing with Azure Functions,Digital & App Innovation,Theater Session,Intermediate,45,79,4.0,6,5,6,Low
SPKR-0077,Raj,Hernandez,1,Microsoft,Microsoft Consulting,Software Engineer,DevOps & Automation,Microsoft 365,"Bash, PowerShell, YAML","Azure Security, Dynamics 365",False,Middle East & Africa,UAE,861,1081,8,0,0,GitOps and Azure Arc: Lessons Learned,Infrastructure,Lightning Talk,Intermediate,20,93,4.5,2,3,5,None
SPKR-0078,Kofi,Silva,1,Government,Canada Digital Service,Data Analyst,Sustainability Tech,DevOps & Automation,"JavaScript, C#, Python","Azure Compute, Microsoft 365, Azure Security, Azure Data, Azure DevOps",False,Latin America,Colombia,135,413,31,0,0,Green Computing with Azure: Best Practices,Microsoft Cloud,Theater Session,Intermediate,45,71,5.0,13,1,6,Low
SPKR-0079,Carlos,Lee,3,Microsoft Partner,Cognizant,Developer,IoT Solutions,DevOps & Automation,"C#, C++, Python","Azure DevOps, Azure Mixed Reality, Dynamics 365, Azure Security, Microsoft 365",False,Europe,Sweden,2779,652,4,1,1,Secure IoT Implementation,Data & AI,Theater Session,Intermediate,30,119,4.0,7,8,17,High
